date,price
2017-02-10,3145
2017-02-11,2920
2017-02-12,2968
2017-02-13,2885
2017-02-14,3120
2017-02-15,3029
2017-02-16,2781
2017-02-17,3375
2017-02-18,3015
2017-02-19,2885
2017-02-20,2218
2017-02-21,2692
2017-02-22,3026
2017-02-23,2621
2017-02-24,2354
2017-02-25,2935
2017-02-26,2903
2017-02-27,3044
2017-02-28,2206
2017-03-01,2035
2017-03-02,2789
2017-03-03,3280
2017-03-04,2722
2017-03-05,2706
2017-03-06,2257
2017-03-07,2971
2017-03-08,3118
2017-03-09,2853
2017-03-10,3207
2017-03-11,2979
2017-03-12,3172
2017-03-13,2369
2017-03-14,1748
2017-03-15,3121
2017-03-16,3302
2017-03-17,2704
2017-03-18,2789
2017-03-19,2949
2017-03-20,2743
2017-03-21,2943
2017-03-22,3074
2017-03-23,3029
2017-03-24,3595
2017-03-25,1934
2017-03-26,2447
2017-03-27,2747
2017-03-28,3076
2017-03-29,2732
2017-03-30,1903
2017-03-31,2780
2017-04-01,2962
2017-04-02,2654
2017-04-03,2310
2017-04-04,2924
2017-04-05,1747
2017-04-06,3180
2017-04-07,2558
2017-04-08,3001
2017-04-09,2929
2017-04-10,1885
2017-04-11,2304
2017-04-12,2396
2017-04-13,2258
2017-04-14,2539
2017-04-15,3126
2017-04-16,2883
2017-04-17,3241
2017-04-18,3200
2017-04-19,2494
2017-04-20,2818
2017-04-21,3506
2017-04-22,2899
2017-04-23,2935
2017-04-24,3071
2017-04-25,3181
2017-04-26,3169
2017-04-27,2879
2017-04-28,3334
2017-04-29,1917
2017-04-30,2039
2017-05-01,2742
2017-05-02,2736
2017-05-03,2946
2017-05-04,2801
2017-05-05,3268
2017-05-06,2956
2017-05-07,3039
2017-05-08,2975
2017-05-09,2613
2017-05-10,2612
2017-05-11,3014
2017-05-12,3403
2017-05-13,2942
2017-05-14,3250
2017-05-15,3120
2017-05-16,3313
2017-05-17,3133
2017-05-18,3268
2017-05-19,2477
2017-05-20,2781
2017-05-21,3041
2017-05-22,3278
2017-05-23,2353
2017-05-24,2777
2017-05-25,3056
2017-05-26,2784
2017-05-27,2899
2017-05-28,3042
2017-05-29,3021
2017-05-30,2989
2017-05-31,2967
2017-06-01,3131
2017-06-02,3516
2017-06-03,2639
2017-06-04,2784
2017-06-05,3034
2017-06-06,3070
2017-06-07,2965
2017-06-08,3124
2017-06-09,3269
2017-06-10,3043
2017-06-11,3076
2017-06-12,3354
2017-06-13,2930
2017-06-14,2596
2017-06-15,3088
2017-06-16,3235
2017-06-17,2619
2017-06-18,3142
2017-06-19,3035
2017-06-20,3459
2017-06-21,2505
2017-06-22,2443
2017-06-23,2317
2017-06-24,2918
2017-06-25,2975
2017-06-26,2219
2017-06-27,2141
2017-06-28,1957
2017-06-29,2054
2017-06-30,2400
2017-07-01,3043
2017-07-02,3014
2017-07-03,2382
2017-07-04,3296
2017-07-05,2554
2017-07-06,2728
2017-07-07,2551
2017-07-08,2824
2017-07-09,2693
2017-07-10,2231
2017-07-11,2540
2017-07-12,1994
2017-07-13,2756
2017-07-14,2858
2017-07-15,2993
2017-07-16,2763
2017-07-17,2905
2017-07-18,2829
2017-07-19,2773
2017-07-20,2386
2017-07-21,2561
2017-07-22,2686
2017-07-23,2797
2017-07-24,2439
2017-07-25,2672
2017-07-26,2777
2017-07-27,2820
2017-07-28,3105
2017-07-29,2906
2017-07-30,2931
2017-07-31,2554
2017-08-01,2329
2017-08-02,2637
2017-08-03,2331
2017-08-04,2303
2017-08-05,2785
2017-08-06,2549
2017-08-07,2244
2017-08-08,2257
2017-08-09,2190
2017-08-10,2261
2017-08-11,2391
2017-08-12,2716
2017-08-13,2712
2017-08-14,2033
2017-08-15,2139
2017-08-16,2049
2017-08-17,2068
2017-08-18,2420
2017-08-19,2745
2017-08-20,2595
2017-08-21,1995
2017-08-22,2081
2017-08-23,2168
2017-08-24,2170
2017-08-25,2292
2017-08-26,2778
2017-08-27,2668
2017-08-28,1952
2017-08-29,2014
2017-08-30,2220
2017-08-31,2232
2017-09-01,2364
2017-09-02,2492
2017-09-03,2814
2017-09-04,2536
2017-09-05,2628
2017-09-06,2888
2017-09-07,3169
2017-09-08,3176
2017-09-09,2746
